doc_id	token_index	char_offset	char_end	token_text	boundary_probability	predicted_boundary	gold_adu_start
micro_b001	0	0	2	Ja	0.99918610	true	true
micro_b001	1	2	3	,	0.00003007	false	false
micro_b001	2	4	10	seinen	0.00011111	false	false
micro_b001	3	11	15	Müll	0.00003134	false	false
micro_b001	4	16	21	immer	0.00008824	false	false
micro_b001	5	22	32	ordentlich	0.00001655	false	false
micro_b001	6	33	35	zu	0.00015419	false	false
micro_b001	7	36	43	trennen	0.00003098	false	false
micro_b001	8	44	47	ist	0.00361233	false	false
micro_b001	9	48	54	nervig	0.00011153	false	false
micro_b001	10	55	58	und	0.00131533	false	false
micro_b001	11	59	67	mühselig	0.00002988	false	false
micro_b001	12	67	68	.	0.00001226	false	false
micro_b001	13	69	73	Drei	0.99962962	true	true
micro_b001	14	74	86	verschiedene	0.00001727	false	false
micro_b001	15	87	97	Müllbeutel	0.00001959	false	false
micro_b001	16	98	105	müffeln	0.00003147	false	false
micro_b001	17	106	108	in	0.00008839	false	false
micro_b001	18	109	112	der	0.00001395	false	false
micro_b001	19	113	118	Küche	0.00001626	false	false
micro_b001	20	119	122	und	0.99290961	true	false
micro_b001	21	123	129	müssen	0.00001034	false	false
micro_b001	22	130	132	in	0.00001884	false	false
micro_b001	23	133	137	drei	0.00000767	false	false
micro_b001	24	138	154	unterschiedliche	0.00000651	false	false
micro_b001	25	155	161	Tonnen	0.00001130	false	false
micro_b001	26	162	173	einsortiert	0.00002329	false	false
micro_b001	27	174	180	werden	0.00001749	false	false
micro_b001	28	180	181	.	0.00001023	false	false
micro_b001	29	182	186	Aber	0.99896932	true	true
micro_b001	30	187	192	immer	0.00004466	false	false
micro_b001	31	193	197	noch	0.00001352	false	false
micro_b001	32	198	202	wird	0.00003681	false	false
micro_b001	33	203	205	in	0.00007873	false	false
micro_b001	34	206	217	Deutschland	0.00001227	false	false
micro_b001	35	218	222	viel	0.00006098	false	false
micro_b001	36	223	225	zu	0.00003113	false	false
micro_b001	37	226	230	viel	0.00001336	false	false
micro_b001	38	231	235	Müll	0.00005036	false	false
micro_b001	39	236	246	produziert	0.00007976	false	false
micro_b001	40	247	250	und	0.99513215	true	true
micro_b001	41	251	253	zu	0.00009674	false	false
micro_b001	42	254	259	viele	0.00001683	false	false
micro_b001	43	260	270	Ressourcen	0.00003049	false	false
micro_b001	44	271	276	gehen	0.00003372	false	false
micro_b001	45	277	285	verloren	0.00004303	false	false
micro_b001	46	285	286	,	0.00001321	false	false
micro_b001	47	287	291	wenn	0.98877269	true	false
micro_b001	48	292	300	zusammen	0.00009129	false	false
micro_b001	49	301	310	verbrannt	0.00002958	false	false
micro_b001	50	311	315	wird	0.00007483	false	false
micro_b001	51	315	316	,	0.00001334	false	false
micro_b001	52	317	320	was	0.42825267	false	false
micro_b001	53	321	329	getrennt	0.00010690	false	false
micro_b001	54	330	340	eigentlich	0.00008991	false	false
micro_b001	55	341	350	verwertet	0.00003855	false	false
micro_b001	56	351	357	werden	0.00003713	false	false
micro_b001	57	358	364	könnte	0.00002055	false	false
micro_b001	58	364	365	.	0.00001103	false	false
micro_b001	59	366	369	Wir	0.99863178	true	true
micro_b001	60	370	378	Berliner	0.00006010	false	false
micro_b001	61	379	386	sollten	0.00004754	false	false
micro_b001	62	387	390	die	0.00004973	false	false
micro_b001	63	391	397	Chance	0.00004021	false	false
micro_b001	64	398	404	nutzen	0.00009074	false	false
micro_b001	65	405	408	und	0.96277404	true	false
micro_b001	66	409	418	Vorreiter	0.00014030	false	false
micro_b001	67	419	421	im	0.00008883	false	false
micro_b001	68	422	433	Mülltrennen	0.00003345	false	false
micro_b001	69	434	440	werden	0.00010916	false	false
micro_b001	70	440	441	!	0.00005630	false	false
micro_b002	0	0	2	In	0.99890292	true	true
micro_b002	1	3	17	Friedrichshain	0.00002620	false	false
micro_b002	2	18	22	oder	0.00009806	false	false
micro_b002	3	23	31	Neukölln	0.00001161	false	false
micro_b002	4	32	36	kann	0.00002916	false	false
micro_b002	5	37	40	man	0.00003167	false	false
micro_b002	6	41	45	sich	0.00002915	false	false
micro_b002	7	46	56	heutzutage	0.00002945	false	false
